X,Y,Breeze,Stench,Glitter,Wumpus,Pit,Gold
0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
